"id","country_id:id","code","name"
partner_region.it-ab,base.it,"IT-65","Abruzzo"
partner_region.it-ba,base.it,"IT-77","Basilicata"
partner_region.it-ca,base.it,"IT-78","Calabria"
partner_region.it-cm,base.it,"IT-72","Campania"
partner_region.it-er,base.it,"IT-45","Emilia-Romagna"
partner_region.it-fv,base.it,"IT-36","Friuli-Venezia Giulia"
partner_region.it-la,base.it,"IT-62","Lazio"
partner_region.it-li,base.it,"IT-42","Liguria"
partner_region.it-lm,base.it,"IT-25","Lombardia"
partner_region.it-ma,base.it,"IT-57","Marche"
partner_region.it-mo,base.it,"IT-67","Molise"
partner_region.it-pm,base.it,"IT-21","Piemonte"
partner_region.it-pu,base.it,"IT-75","Puglia"
partner_region.it-sa,base.it,"IT-88","Sardegna"
partner_region.it-si,base.it,"IT-82","Sicilia"
partner_region.it-to,base.it,"IT-52","Toscana"
partner_region.it-ta,base.it,"IT-32","Trentino-Alto Adige"
partner_region.it-um,base.it,"IT-55","Umbria"
partner_region.it-va,base.it,"IT-23","Valle d'Aosta"
partner_region.it-ve,base.it,"IT-34","Veneto"
